x,y,z,oncoprotein
-58.366192,-23.809342,-135.428758,1.148773
-58.366192,-6.983921,-135.428758,0.739233
-58.366192,9.841500,-135.428758,1.122044
-58.366192,26.666922,-135.428758,1.354490
-43.794950,-32.222052,-135.428758,1.284868
-43.794950,-15.396631,-135.428758,1.162999
-43.794950,1.428790,-135.428758,0.845319
-43.794950,18.254211,-135.428758,1.452217
-43.794950,35.079632,-135.428758,1.136950
-29.223708,-57.460184,-135.428758,0.995681
-29.223708,-40.634763,-135.428758,0.915769
-29.223708,-23.809342,-135.428758,1.069711
-29.223708,-6.983921,-135.428758,0.822594
-29.223708,9.841500,-135.428758,1.398022
-29.223708,26.666922,-135.428758,1.378632
-29.223708,43.492343,-135.428758,0.907872
-14.652466,-49.047473,-135.428758,0.729906
-14.652466,-32.222052,-135.428758,0.949788
-14.652466,-15.396631,-135.428758,0.941333
-14.652466,1.428790,-135.428758,1.520890
-14.652466,18.254211,-135.428758,1.200644
-14.652466,35.079632,-135.428758,0.664290
-14.652466,51.905053,-135.428758,1.110916
-0.081224,-57.460184,-135.428758,1.092683
-0.081224,-40.634763,-135.428758,0.808766
-0.081224,-23.809342,-135.428758,1.190059
-0.081224,-6.983921,-135.428758,0.884991
-0.081224,9.841500,-135.428758,1.143102
-0.081224,26.666922,-135.428758,1.422499
-0.081224,43.492343,-135.428758,0.715898
-0.081224,60.317764,-135.428758,1.007742
14.490018,-49.047473,-135.428758,0.576970
14.490018,-32.222052,-135.428758,1.210851
14.490018,-15.396631,-135.428758,0.996586
14.490018,1.428790,-135.428758,0.770827
14.490018,18.254211,-135.428758,0.827425
14.490018,35.079632,-135.428758,0.915725
14.490018,51.905053,-135.428758,0.958562
29.061260,-57.460184,-135.428758,0.614295
29.061260,-40.634763,-135.428758,0.958345
29.061260,-23.809342,-135.428758,0.883486
29.061260,-6.983921,-135.428758,1.190861
29.061260,9.841500,-135.428758,0.944154
29.061260,26.666922,-135.428758,0.786915
29.061260,43.492343,-135.428758,0.817237
43.632503,-32.222052,-135.428758,1.498881
43.632503,-15.396631,-135.428758,1.065397
43.632503,1.428790,-135.428758,1.215799
43.632503,18.254211,-135.428758,0.771168
43.632503,35.079632,-135.428758,1.127447
58.203745,-23.809342,-135.428758,0.774033
58.203745,-6.983921,-135.428758,0.661546
58.203745,9.841500,-135.428758,0.812427
58.203745,26.666922,-135.428758,1.376255
-77.143790,-40.634763,-120.857516,0.993443
-77.143790,-23.809342,-120.857516,0.954125
-77.143790,-6.983921,-120.857516,0.305605
-77.143790,9.841500,-120.857516,0.714178
-77.143790,26.666922,-120.857516,0.884603
-77.143790,43.492343,-120.857516,1.137281
-62.572547,-49.047473,-120.857516,0.732888
-62.572547,-32.222052,-120.857516,0.818780
-62.572547,-15.396631,-120.857516,0.861233
-62.572547,1.428790,-120.857516,0.807411
-62.572547,18.254211,-120.857516,1.174506
-62.572547,35.079632,-120.857516,1.277037
-62.572547,51.905053,-120.857516,1.250688
-48.001305,-74.285605,-120.857516,1.445847
-48.001305,-57.460184,-120.857516,0.776712
-48.001305,-40.634763,-120.857516,0.728321
-48.001305,-23.809342,-120.857516,1.029446
-48.001305,-6.983921,-120.857516,0.857798
-48.001305,9.841500,-120.857516,1.160573
-48.001305,26.666922,-120.857516,1.247064
-48.001305,43.492343,-120.857516,1.082420
-48.001305,60.317764,-120.857516,1.077910
-33.430063,-65.872895,-120.857516,0.781981
-33.430063,-49.047473,-120.857516,0.839326
-33.430063,-32.222052,-120.857516,1.276384
-33.430063,-15.396631,-120.857516,1.037475
-33.430063,1.428790,-120.857516,1.028483
-33.430063,18.254211,-120.857516,0.752266
-33.430063,35.079632,-120.857516,0.959099
-33.430063,51.905053,-120.857516,0.875977
-33.430063,68.730474,-120.857516,1.025481
-18.858821,-74.285605,-120.857516,1.426898
-18.858821,-57.460184,-120.857516,0.473122
-18.858821,-40.634763,-120.857516,0.978096
-18.858821,-23.809342,-120.857516,1.052470
-18.858821,-6.983921,-120.857516,0.856778
-18.858821,9.841500,-120.857516,0.688183
-18.858821,26.666922,-120.857516,0.847623
-18.858821,43.492343,-120.857516,0.640104
-18.858821,60.317764,-120.857516,1.064879
-18.858821,77.143185,-120.857516,0.785871
-4.287579,-82.698316,-120.857516,1.009925
-4.287579,-65.872895,-120.857516,0.679368
-4.287579,-49.047473,-120.857516,0.785527
-4.287579,-32.222052,-120.857516,1.342667
-4.287579,-15.396631,-120.857516,1.090233
-4.287579,1.428790,-120.857516,1.345758
-4.287579,18.254211,-120.857516,1.203955
-4.287579,35.079632,-120.857516,0.572939
-4.287579,51.905053,-120.857516,1.216219
-4.287579,68.730474,-120.857516,0.815254
-4.287579,85.555895,-120.857516,0.959979
10.283663,-74.285605,-120.857516,0.829879
10.283663,-57.460184,-120.857516,0.880543
10.283663,-40.634763,-120.857516,0.880432
10.283663,-23.809342,-120.857516,1.108118
10.283663,-6.983921,-120.857516,1.484690
10.283663,9.841500,-120.857516,0.948871
10.283663,26.666922,-120.857516,0.907402
10.283663,43.492343,-120.857516,1.200542
10.283663,60.317764,-120.857516,0.441760
10.283663,77.143185,-120.857516,0.791436
24.854905,-82.698316,-120.857516,0.761415
24.854905,-65.872895,-120.857516,1.185483
24.854905,-49.047473,-120.857516,1.242322
24.854905,-32.222052,-120.857516,1.255855
24.854905,-15.396631,-120.857516,0.860287
24.854905,1.428790,-120.857516,0.890177
24.854905,18.254211,-120.857516,1.150347
24.854905,35.079632,-120.857516,1.076856
24.854905,51.905053,-120.857516,0.890159
24.854905,68.730474,-120.857516,0.691707
39.426147,-74.285605,-120.857516,0.653870
39.426147,-57.460184,-120.857516,0.608261
39.426147,-40.634763,-120.857516,1.317066
39.426147,-23.809342,-120.857516,0.767790
39.426147,-6.983921,-120.857516,0.697119
39.426147,9.841500,-120.857516,0.673663
39.426147,26.666922,-120.857516,0.674026
39.426147,43.492343,-120.857516,0.716377
39.426147,60.317764,-120.857516,1.079887
39.426147,77.143185,-120.857516,0.715680
53.997389,-65.872895,-120.857516,0.549869
53.997389,-49.047473,-120.857516,1.283520
53.997389,-32.222052,-120.857516,0.650155
53.997389,-15.396631,-120.857516,1.117946
53.997389,1.428790,-120.857516,0.929755
53.997389,18.254211,-120.857516,0.960557
53.997389,35.079632,-120.857516,0.999575
53.997389,51.905053,-120.857516,0.651435
53.997389,68.730474,-120.857516,1.234363
68.568631,-40.634763,-120.857516,0.934013
68.568631,-23.809342,-120.857516,1.016138
68.568631,-6.983921,-120.857516,1.115188
68.568631,9.841500,-120.857516,1.201838
68.568631,26.666922,-120.857516,0.706994
68.568631,43.492343,-120.857516,0.639428
83.139874,-15.396631,-120.857516,0.989771
83.139874,1.428790,-120.857516,0.996773
83.139874,18.254211,-120.857516,1.204480
-102.079918,-15.396631,-106.286274,1.176969
-102.079918,1.428790,-106.286274,0.810689
-102.079918,18.254211,-106.286274,1.124564
-87.508676,-57.460184,-106.286274,0.731900
-87.508676,-40.634763,-106.286274,1.311250
-87.508676,-23.809342,-106.286274,0.498695
-87.508676,-6.983921,-106.286274,1.063696
-87.508676,9.841500,-106.286274,0.791522
-87.508676,26.666922,-106.286274,1.044263
-87.508676,43.492343,-106.286274,1.099926
-72.937434,-65.872895,-106.286274,0.965743
-72.937434,-49.047473,-106.286274,1.428508
-72.937434,-32.222052,-106.286274,1.345090
-72.937434,-15.396631,-106.286274,0.677757
-72.937434,1.428790,-106.286274,0.956681
-72.937434,18.254211,-106.286274,0.785568
-72.937434,35.079632,-106.286274,1.431694
-72.937434,51.905053,-106.286274,0.675510
-72.937434,68.730474,-106.286274,1.596404
-58.366192,-74.285605,-106.286274,0.729050
-58.366192,-57.460184,-106.286274,0.744736
-58.366192,-40.634763,-106.286274,0.564109
-58.366192,-23.809342,-106.286274,1.531576
-58.366192,-6.983921,-106.286274,1.150203
-58.366192,9.841500,-106.286274,1.168247
-58.366192,26.666922,-106.286274,1.159797
-58.366192,43.492343,-106.286274,1.004695
-58.366192,60.317764,-106.286274,1.251798
-58.366192,77.143185,-106.286274,0.427629
-43.794950,-82.698316,-106.286274,1.083756
-43.794950,-65.872895,-106.286274,1.062171
-43.794950,-49.047473,-106.286274,0.922305
-43.794950,-32.222052,-106.286274,1.237132
-43.794950,-15.396631,-106.286274,0.987510
-43.794950,1.428790,-106.286274,0.704384
-43.794950,18.254211,-106.286274,1.185475
-43.794950,35.079632,-106.286274,0.997621
